date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:35	103123/103123	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/an-israeli-boy-meets-palestinian-boy.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/an-israeli-boy-meets-palestinian-boy.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:37	119130/119130	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:39	109811/109811	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blackmagic.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blackmagic.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:39	110488/110488	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/blog-post_17.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/blog-post_17.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:42	198053/198053	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search?updated-max=2021-09-17T19:53:00-07:00&max-results=13	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search88ba.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:55	112464/112464	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/%e0%a6%aa%e0%a6%b0%e0%a7%8d%e0%a6%a6%e0%a6%be%e0%a6%b0%20%e0%a6%97%e0%a7%81%e0%a6%b0%e0%a7%81%e0%a6%a4%e0%a7%8d%e0%a6%ac	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/%e0%a6%aa%e0%a6%b0%e0%a7%8d%e0%a6%a6%e0%a6%be%e0%a6%b0%20%e0%a6%97%e0%a7%81%e0%a6%b0%e0%a7%81%e0%a6%a4%e0%a7%8d%e0%a6%ac.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:55	196676/196676	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/index.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:55	244909/244909	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/index.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:56	279404/279404	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/index.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:56	90483/90483	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/About%20Birthday	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/About%20Birthday.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:58	90196/90196	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/About%20Friday	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/About%20Friday.html	(from https://importanceofislambdforall.blogspot.com/)
22:55:00	119283/119283	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Allah%20said	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Allah%20said.html	(from https://importanceofislambdforall.blogspot.com/)
22:55:02	148698/148698	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Anti-pornography	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Anti-pornography.html	(from https://importanceofislambdforall.blogspot.com/)
22:55:04	90744/90744	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Dua	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Dua.html	(from https://importanceofislambdforall.blogspot.com/)
22:55:06	90371/90371	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Importance%20of%20Salat	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Importance%20of%20Salat.html	(from https://importanceofislambdforall.blogspot.com/)
22:55:07	100499/100499	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/What%20Bible%20say	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/What%20Bible%20say.html	(from https://importanceofislambdforall.blogspot.com/)
22:55:07	135853/135853	---M--	200	added ('OK')	text/javascript	date:Sun,%2007%20Nov%202021%2015:50:39%20GMT	https://resources.blogblog.com/blogblog/data/res/1152446648-vegeclub_compiled.js	D:/Websites/importanceofislam/resources.blogblog.com/blogblog/data/res/1152446648-vegeclub_compiled.js	(from https://importanceofislambdforall.blogspot.com/)
22:55:08	158431/158431	---M--	200	added ('OK')	text/javascript	date:Wed,%2003%20Nov%202021%2002:51:46%20GMT	https://www.blogger.com/static/v1/widgets/2140596338-widgets.js	D:/Websites/importanceofislam/www.blogger.com/static/v1/widgets/2140596338-widgets.js	(from https://importanceofislambdforall.blogspot.com/)
22:55:09	1/1	---MC-	200	added ('OK')	text/css	date:Sun,%2007%20Nov%202021%2016:55:09%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=8522550924348183327&zx=47ea0658-ed97-4fa9-b980-60890fe64995	D:/Websites/importanceofislam/www.blogger.com/dyn-css/authorization9f7d.css	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:10	80103/80103	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2016:55:10%20GMT	https://importanceofislambdforall.blogspot.com/p/https	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/p/https.24.delayed	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:12	1966/1966	---M--	200	added ('OK')	image/png	etag:%22vef0%22	https://1.bp.blogspot.com/-gDtxkQU_c6A/YTn7FNOHtJI/AAAAAAAADu8/oDbcHp5B5zoKJ-IPukFORG20zWsWriWVACLcBGAsYHQ/w71-h71/pdf-file.png	D:/Websites/importanceofislam/1.bp.blogspot.com/-gDtxkQU_c6A/YTn7FNOHtJI/AAAAAAAADu8/oDbcHp5B5zoKJ-IPukFORG20zWsWriWVACLcBGAsYHQ/w71-h71/pdf-file.png	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:12	17269/17269	---M--	200	added ('OK')	text/javascript	date:Wed,%2003%20Nov%202021%2022:52:51%20GMT	https://www.blogger.com/static/v1/jsbin/2517944472-comment_from_post_iframe.js	D:/Websites/importanceofislam/www.blogger.com/static/v1/jsbin/2517944472-comment_from_post_iframe.js	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:13	103660/103660	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_40.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_40.html	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:14	28991/28991	---M--	200	added ('OK')	image/jpeg	etag:%22ve8f%22	https://1.bp.blogspot.com/-sDqflBa9WoE/YSaDOVZfJgI/AAAAAAAADo4/vaAKRY9vHukQ3NfkI13X665kvPsZ-qSHgCLcBGAsYHQ/w640-h606/FB_IMG_1629913543809.jpg	D:/Websites/importanceofislam/1.bp.blogspot.com/-sDqflBa9WoE/YSaDOVZfJgI/AAAAAAAADo4/vaAKRY9vHukQ3NfkI13X665kvPsZ-qSHgCLcBGAsYHQ/w640-h606/FB_IMG_1629913543809.jpg	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:15	111985/111985	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_2.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_2.html	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:17	107695/107695	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_22.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_22.html	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:18	20538/20538	---M--	200	added ('OK')	image/jpeg	etag:%22ve5c%22	https://1.bp.blogspot.com/-FUwDYxfL8YE/YSKAgXxvAoI/AAAAAAAADls/4Zo7hsBL5c0GCsgNpPMja7Ge6wZ3WXOcQCLcBGAsYHQ/w320-h320/images.jpg	D:/Websites/importanceofislam/1.bp.blogspot.com/-FUwDYxfL8YE/YSKAgXxvAoI/AAAAAAAADls/4Zo7hsBL5c0GCsgNpPMja7Ge6wZ3WXOcQCLcBGAsYHQ/w320-h320/images.jpg	(from https://importanceofislambdforall.blogspot.com/p/privacy-policy.html)
22:55:20	1307/1307	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://importanceofislambdforall.blogspot.com/feeds/1615284839543581321/comments/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/1615284839543581321/comments/default	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_26.html)
22:55:22	1306/1306	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://importanceofislambdforall.blogspot.com/feeds/279726558550804172/comments/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/279726558550804172/comments/default	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_55.html)
22:55:24	1307/1307	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://importanceofislambdforall.blogspot.com/feeds/1091281931619734661/comments/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/1091281931619734661/comments/default	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_19.html)
22:55:25	1307/1307	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://importanceofislambdforall.blogspot.com/feeds/8914020782816544001/comments/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/8914020782816544001/comments/default	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_23.html)
22:55:27	80139/80139	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2016:55:27%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/https	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/https.30.delayed	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_23.html)
22:55:30	81114/81114	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/https	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/https.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:31	113845/113845	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/blog-post_99.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/blog-post_99.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:33	111404/111404	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/blog-post_97.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/blog-post_97.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:34	101961/101961	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/blog-post_40.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/blog-post_40.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:36	114828/114828	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/blog-post_7.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/blog-post_7.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:36	105966/105966	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/blog-post_20.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/blog-post_20.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:38	106535/106535	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_65.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_65.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:40	119520/119520	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_30.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_30.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:42	109290/109290	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_66.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_66.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:44	103083/103083	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_18.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_18.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:46	120523/120523	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_26.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_26.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:47	102670/102670	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/who-is-actually-terrorism.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/who-is-actually-terrorism.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:49	81746/81746	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact?updated-max=2021-08-16T05:41:00-07:00&max-results=20&start=20&by-date=false	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Real%20Factf2cf.html	(from https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact)
22:55:51	1307/1307	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://importanceofislambdforall.blogspot.com/feeds/2290240485342663602/comments/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/2290240485342663602/comments/default	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_69.html)
22:55:53	1307/1307	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://importanceofislambdforall.blogspot.com/feeds/1690648443256062723/comments/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/1690648443256062723/comments/default	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_47.html)
22:55:55	1307/1307	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://importanceofislambdforall.blogspot.com/feeds/8354710008482186886/comments/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/8354710008482186886/comments/default	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_16.html)
22:55:57	181726/181726	---M--	200	added ('OK')	image/png	etag:%22vffc%22	https://lh3.googleusercontent.com/-DUrS9iCgQYg/YWr7XaxouZI/AAAAAAAAD_s/0XRCPJb1EFQEhIhGcVrfKmdWDaSu6_zVgCLcBGAsYHQ/w400-h296/image.png	D:/Websites/importanceofislam/lh3.googleusercontent.com/-DUrS9iCgQYg/YWr7XaxouZI/AAAAAAAAD_s/0XRCPJb1EFQEhIhGcVrfKmdWDaSu6_zVgCLcBGAsYHQ/w400-h296/image.png	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_16.html)
22:55:58	272774/272774	---M--	200	added ('OK')	image/png	etag:%22vffc%22	https://lh3.googleusercontent.com/-DUrS9iCgQYg/YWr7XaxouZI/AAAAAAAAD_s/0XRCPJb1EFQEhIhGcVrfKmdWDaSu6_zVgCLcBGAsYHQ/image.png	D:/Websites/importanceofislam/lh3.googleusercontent.com/-DUrS9iCgQYg/YWr7XaxouZI/AAAAAAAAD_s/0XRCPJb1EFQEhIhGcVrfKmdWDaSu6_zVgCLcBGAsYHQ/image.png	(from https://importanceofislambdforall.blogspot.com/2021/10/blog-post_16.html)
22:55:59	106940/106940	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/blog-post_80.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/blog-post_80.html	(from https://importanceofislambdforall.blogspot.com/search/label/Important%20to%20know)
22:56:01	106050/106050	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/09/a-jewish-tourist-complained-about-statue.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/09/a-jewish-tourist-complained-about-statue.html	(from https://importanceofislambdforall.blogspot.com/search/label/Important%20to%20know)
22:56:03	108354/108354	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_14.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_14.html	(from https://importanceofislambdforall.blogspot.com/search/label/Important%20to%20know)
22:56:05	112643/112643	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_1.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_1.html	(from https://importanceofislambdforall.blogspot.com/search/label/Important%20to%20know)
22:56:07	159116/159116	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/08/blog-post_98.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/08/blog-post_98.html	(from https://importanceofislambdforall.blogspot.com/search/label/Important%20to%20know)
